time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010445400000	12.5461	2.09544	9.14619	-0.153024	23.6343	lidar	-9.25596e+61	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.1902	2.32215	9.53163	0.730153	23.2943	radar	-9.25596e+61	13.2198	2.66441	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.0684	2.43394	9.31241	2.13396	22.963	lidar	-9.25596e+61	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	12.6817	2.91235	9.92383	-1.40531	23.4359	radar	-9.25596e+61	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7939	2.62624	10.4576	1.98165	22.8018	lidar	-9.25596e+61	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.7026	2.58887	10.325	0.440856	23.7507	radar	-9.25596e+61	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1978	2.94555	10.6653	1.74573	23.7271	lidar	-9.25596e+61	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4165	2.84986	10.5709	-1.38376	24.5857	radar	-9.25596e+61	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.4861	2.9104	10.4253	-1.25498	24.6202	lidar	-9.25596e+61	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.5512	3.70649	9.89529	0.307173	25.2185	radar	-9.25596e+61	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0072	3.54483	10.2751	-1.0353	25.0503	lidar	-9.25596e+61	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.1701	3.9548	10.1618	-2.59716	25.1428	radar	-9.25596e+61	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.506	3.8525	10.1763	-2.59385	25.1129	lidar	-9.25596e+61	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6528	3.52402	10.4812	-0.828916	22.302	radar	-9.25596e+61	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9681	3.99057	10.4132	-0.835058	22.2655	lidar	-9.25596e+61	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.2437	3.98717	10.2447	0.2487	22.3245	radar	-9.25596e+61	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3323	4.43764	10.2435	2.69597	22.4147	lidar	-9.25596e+61	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5711	3.87345	10.2861	0.726128	22.5807	radar	-9.25596e+61	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6142	4.65606	10.4737	-0.206783	22.5059	lidar	-9.25596e+61	16.6039	4.67344	16.613	4.5849	3.74	3.28438
